Amex-Email-Credit card-Closed with explanation,3
Amex-Fax-Bank account or service-Closed with explanation,4
Amex-Fax-Bank account or service-Closed with monetary relief,2
Amex-Fax-Credit card-Closed with explanation,50
Amex-Fax-Credit card-Closed with monetary relief,11
Amex-Fax-Credit card-Closed with non-monetary relief,5
Amex-Fax-Credit card-Closed without relief,3
Amex-Fax-Credit reporting-Closed with explanation,1
Amex-Fax-Credit reporting-Closed with non-monetary relief,1
Amex-Fax-Debt collection-Closed with explanation,4
Amex-Fax-Others-Closed with monetary relief,1
Amex-Phone-Bank account or service-Closed with explanation,24
Amex-Phone-Bank account or service-Closed with monetary relief,11
Amex-Phone-Bank account or service-Closed with non-monetary relief,1
Amex-Phone-Bank account or service-Closed without relief,1
Amex-Phone-Credit card-Closed,1
Amex-Phone-Credit card-Closed with explanation,266
Amex-Phone-Credit card-Closed with monetary relief,64
Amex-Phone-Credit card-Closed with non-monetary relief,51
Amex-Phone-Credit card-Closed with relief,2
Amex-Phone-Credit card-Closed without relief,20
Amex-Phone-Debt collection-Closed with explanation,25
Amex-Phone-Debt collection-Closed with non-monetary relief,7
Amex-Phone-Others-Closed with explanation,39
Amex-Phone-Others-Closed with monetary relief,12
Amex-Phone-Others-Closed with non-monetary relief,2
Amex-Postal mail-Bank account or service-Closed with explanation,10
Amex-Postal mail-Bank account or service-Closed with monetary relief,2
Amex-Postal mail-Bank account or service-Closed with non-monetary relief,3
Amex-Postal mail-Bank account or service-Closed without relief,1
Amex-Postal mail-Credit card-Closed,1
Amex-Postal mail-Credit card-Closed with explanation,262
Amex-Postal mail-Credit card-Closed with monetary relief,48
Amex-Postal mail-Credit card-Closed with non-monetary relief,37
Amex-Postal mail-Credit card-Closed with relief,3
Amex-Postal mail-Credit card-Closed without relief,11
Amex-Postal mail-Credit reporting-Closed with explanation,4
Amex-Postal mail-Credit reporting-Closed with non-monetary relief,3
Amex-Postal mail-Debt collection-Closed with explanation,21
Amex-Postal mail-Debt collection-Closed with monetary relief,1
Amex-Postal mail-Debt collection-Closed with non-monetary relief,7
Amex-Postal mail-Mortgage-Closed with explanation,1
Amex-Postal mail-Others-Closed with explanation,8
Amex-Postal mail-Others-Closed with monetary relief,3
Amex-Referral-Bank account or service-Closed,2
Amex-Referral-Bank account or service-Closed with explanation,89
Amex-Referral-Bank account or service-Closed with monetary relief,39
Amex-Referral-Bank account or service-Closed with non-monetary relief,10
Amex-Referral-Bank account or service-Closed without relief,1
Amex-Referral-Credit card-Closed,5
Amex-Referral-Credit card-Closed with explanation,471
Amex-Referral-Credit card-Closed with monetary relief,157
Amex-Referral-Credit card-Closed with non-monetary relief,56
Amex-Referral-Credit card-Closed with relief,21
Amex-Referral-Credit card-Closed without relief,66
Amex-Referral-Credit reporting-Closed with explanation,2
Amex-Referral-Debt collection-Closed with explanation,42
Amex-Referral-Debt collection-Closed with monetary relief,3
Amex-Referral-Debt collection-Closed with non-monetary relief,21
Amex-Referral-Mortgage-Closed with explanation,2
Amex-Referral-Mortgage-Closed with monetary relief,1
Amex-Referral-Others-Closed,1
Amex-Referral-Others-Closed with explanation,52
Amex-Referral-Others-Closed with monetary relief,23
Amex-Referral-Others-Closed with non-monetary relief,1
Amex-Web-Bank account or service-Closed with explanation,152
Amex-Web-Bank account or service-Closed with monetary relief,58
Amex-Web-Bank account or service-Closed with non-monetary relief,17
Amex-Web-Bank account or service-Closed with relief,3
Amex-Web-Bank account or service-Closed without relief,1
Amex-Web-Credit card-Closed,5
Amex-Web-Credit card-Closed with explanation,3281
Amex-Web-Credit card-Closed with monetary relief,802
Amex-Web-Credit card-Closed with non-monetary relief,594
